venue_id,likely_home_team,fair_bip,tracked_bip,coverage_pct
787507621,INST,1081,1077,99.6
702368384,FIU,1567,1560,99.6
751138364,TOL,926,922,99.6
791502703,TTU,1662,1656,99.6
700538379,PUR,1370,1365,99.6
778807703,SCAR,1786,1778,99.6
716929690,LAF,723,720,99.6
796026392,MTU,1633,1627,99.6
716994254,PAC,1419,1414,99.6
737052518,UGA,1631,1625,99.6
787831474,SJU,1118,1114,99.6
730419255,ALCN,472,470,99.6
743735294,LOU,1703,1697,99.6
758101883,BRY,1031,1027,99.6
793799818,AFA,913,909,99.6
784697765,TAR,1355,1350,99.6
767503772,SLU,1388,1383,99.6
792718116,JMU,272,271,99.6
759638726,BAY,263,262,99.6
