,,Avg. Exit Velo,Barrel%,Whiff%,Chase%,Avg. Exit Velo SD,Barrel% SD,Whiff% SD,Chase% SD,
,,86.2,17.40,22.9,23.1,4.20,7.78,6.51,5.58,
Team,Avg Exit Velocity,Barrel%,Whiff%,Chase%,EV Score,Barrel Score,Whiff% Score,Chase% Score,Offensive Power Rating,Power Rating
Logan Sauve,91.6,21.1,18.6,19.7,90,68,75,73,79,157
Ryan Kim,91.6,16.6,27.2,25.8,90,46,25,31,52,105
Timmy OBrien,91.6,32.9,33.2,28.2,90,98,6,18,51,103
Carter Bergman,91.6,24.7,27.7,26.9,90,83,23,25,56,112
Brady Shannon,91.6,26.2,34.1,19.5,90,87,4,74,61,121
Cooper McMurray,91.6,33.1,26.6,27.4,90,98,28,22,59,118
Andreaus Lewis,91.6,24.1,28.7,20.1,90,81,19,70,63,127
Christian Smith,91.5,18.2,25.8,23.4,90,54,33,48,59,118
Ryan Sprock,91.5,25,18.6,21.7,90,84,75,60,78,157
Bub Terrell,91.5,17.6,23.5,31.3,90,51,46,7,54,109
Tim Simay,91.5,23.5,13.7,15.2,90,78,92,92,89,178
Aiden Robbins,91.5,25.2,20.4,19,90,84,65,77,79,158
Kerrington Cross,91.5,29.8,20.9,14.8,90,94,62,93,83,166
Trey Hawsey,91.5,30.1,23.3,22.8,90,95,48,52,70,141
Keegan O'Connor,91.5,25,21.4,35,90,84,59,2,62,124
Roch Cholowsky,91.5,31.3,18.3,23.6,90,96,76,46,78,156
Mitch Voit,91.5,26.8,20.5,24.1,90,89,64,43,73,145
Ethan Murdoch,91.5,19.2,27.8,25.1,90,59,23,36,54,108
Kyle Lodise,91.5,33.3,22,17.9,90,98,55,82,79,158
Tristan Moore,91.5,29.8,24.1,29.5,90,94,43,13,61,122
Michael DiMartini,91.4,19.8,30.8,29.3,89,62,11,13,47,93
Nick Leehey,91.4,24.8,21.6,23.9,89,83,58,44,70,140
Connor ONeal,91.4,28.3,26.5,15,89,92,29,93,72,145
Aidan Taclas,91.4,20.8,19.4,19.9,89,67,70,72,77,153
Ethan Swidler,91.4,23.7,17.5,13.3,89,79,80,96,86,172
Sean Smith,91.4,22.7,25.1,21.7,89,75,37,60,66,131
Matthew Russo,91.4,23.5,23.2,29.1,89,78,48,14,60,120
Logan Sutter,91.4,30.3,28.3,19.9,89,95,20,72,66,132
Brayden Fraasman,91.4,19.8,26.7,34.5,89,62,28,2,49,99
Kainen Jorge,91.4,24.2,37.1,24.7,89,81,1,39,52,103
Tommy Rover,91.4,28.6,22.2,20.9,89,92,54,65,74,149
Matt Schark,91.3,34.8,22,28.1,89,99,55,18,66,132
Hunter Hines,91.3,28.7,28.5,33.9,89,93,19,3,51,103
Billy Ham,91.3,24.2,20.3,23.2,89,81,66,49,73,145
Casey Shipley,91.3,28.6,20.6,20.4,89,92,64,69,78,156
Josh McAlister,91.3,24,28.7,23.1,89,80,19,50,59,117
Brody Donay,91.3,26.6,36.8,34.6,89,88,2,2,45,90
Andrew Wiggins,91.3,16.1,22.7,11.8,89,43,51,98,73,145
Freddy Forgione,91.3,22.9,16.3,17.4,89,76,84,85,85,169
Will Vierling,91.3,24.3,14.3,21.9,89,81,91,59,82,164
Max McGwire,91.2,18.9,37.4,26.7,88,58,1,26,45,90
Josh Hogue,91.2,25.5,26.2,31,88,85,31,8,54,109
Drew Burress,91.2,23.7,20,19.4,88,79,67,75,78,156
Reese Chapman,91.2,24.5,30.1,28.7,88,82,13,16,50,101
Brent Iredale,91.2,27.3,27.2,17.6,88,90,25,84,69,138
Bryce Calloway,91.2,24.7,30.1,19,88,83,13,77,63,125
Zach Yorke,91.2,27.4,16.2,13.2,88,90,85,96,89,178
Mason White,91.1,26.5,24.9,32,88,88,38,6,56,113
Chase Bloomer,91.1,16.7,27,29.2,88,46,26,14,48,97
Bobby Boser,91.1,28.2,29.6,28.4,88,92,15,17,52,105
Kade Snell,91.1,25.9,11.1,19.2,88,86,97,76,88,176
Kyle Hayes,91.1,23.2,20.3,23.7,88,77,66,46,71,142
Weber Neels,91.1,24.8,24,23.7,88,83,43,46,65,131
Fisher Ingersoll,91.1,35,38.3,32.6,88,99,1,4,47,93
Jason Campo,91.1,23.5,35.5,29.9,88,78,3,11,46,91
Maika Niu,91.1,23.5,25.6,29.7,88,78,34,12,55,110
Justin Lebron,91.1,29,29.6,26.5,88,93,15,27,55,109
Chase Brunson,91,21.5,18.3,25.3,87,70,76,35,71,142
Will Furniss,91,19.7,30,20.8,87,62,14,66,57,114
Lucas Steele,91,27.1,23.3,17.4,87,89,48,85,75,150
